fname,ARIMA,SARIMA,RNN,LSTM
D3623.csv,0.007299076690163931,0.006977362747339518,9.583864,0.26753406659598566
D3618.csv,0.018536519051454172,0.020641845792752828,14.005701,0.9896184313983863
D3613.csv,0.10507958070033989,0.040355364796345425,76.34058,5.575529352429575
D2079.csv,0.06412466749136628,0.03385213371442315,12.089339,1.9904432764748483
D2085.csv,0.23734450190356124,0.23734450190356124,99.974304,42.86420516562262
D2076.csv,0.2558072626208737,0.21450410925588886,49.008717,4.513965402009138
D3640.csv,0.030169194931957036,0.030759321583130318,23.719185,1.574696877221166
D3596.csv,0.02826353706093939,0.023002275665790616,9.965981,1.690459619891191
D3620.csv,0.0999727602562567,0.028370636786208582,236.35928,20.724677288246916
D3616.csv,0.033438602731738945,0.019031229458331692,17.205267,1.4325914280689616
D3644.csv,0.020652179512756188,0.019846231187729657,4.809203,1.751889215911912
D3610.csv,0.13890890615882065,0.13884768149121923,6.0518866,25.60775708865497
D3631.csv,0.014277484470417674,0.01689870256861014,11.143338,0.9229919735218167
D2071.csv,0.020996988088286768,0.02905561583981894,11.545444,3.348687444361275
D3617.csv,0.03538310167943695,0.038577588157690496,19.761276,1.6528711388336508
D2077.csv,0.4836484329401716,0.3939957779197943,63.27842,5.018677636857799
D3627.csv,0.01725402986574167,0.02360860639371797,5.0812254,2.3427566953997703
D2083.csv,0.1696734949949162,0.16371903373046295,22.97055,8.804724152618103
D3638.csv,0.028459268180024592,0.013172524324506526,12.917179,2.7252373375828363
D3600.csv,0.024027811438258013,0.03406038833824534,20.052738,2.877019774628692
D2081.csv,0.036721283283182346,0.0629092755296887,6.068144,1.2347906373179076
D2068.csv,0.029319585981509712,0.025141717544235092,12.811743,2.197693344844131
D3624.csv,0.045250711525839295,0.05933637146607624,15.053376,2.249495331601177
D3604.csv,0.09865520604154368,0.02902098471766611,34.751747,1.993344770524216
D3606.csv,0.015986736469758754,0.019685575323841,14.210587,1.425079541727558
D3598.csv,0.0380960629310711,0.02173893088048613,5.0012474,1.4460625329894845
D3601.csv,0.03448499253138532,0.032287880642224105,11.190716,1.6678936222312382
D3642.csv,0.03961068509552596,0.036135396108704664,99.09754,3.3245531898075074
D3619.csv,0.04532935085980095,0.044537400482015134,13.055386,2.8157250919915366
D3597.csv,0.11852832124331472,0.10796470572204857,662.8517,7.96683238100108
D2070.csv,0.011939870827646056,0.012802376761061135,2.9002109,0.9343211501385719
D2075.csv,0.15868253757385378,0.13130496950142795,35.382156,7.609211753210399
