fname,ARIMA,SARIMA,RNN,LSTM
D3623.csv,16.43456896946386,15.690831822677763,0.04307656,5.994784268465909
D3618.csv,28.390245058852333,31.589717011602094,0.067182325,14.978046417236328
D3613.csv,747.4180327868852,295.53459021361033,0.11060612,397.63970269097206
D2079.csv,193.2375,102.47410258415428,0.116047375,60.03128814697267
D2085.csv,2030.5263157894738,2030.5263157894738,3789.0261,3763.4772135416665
D2076.csv,2322.890639524885,2008.7113303073645,0.9875672,398.39261179956895
D3640.csv,189.11158724419937,186.95422259734246,0.12065205,97.40851612580124
D3596.csv,50.826792856515326,40.421162863938136,0.099377036,30.287761306762686
D3620.csv,39.7575,11.409904575938757,0.012165864,82.61573057174684
D3616.csv,67.16614701605837,37.306314927531005,0.18286109,28.76726188659667
D3644.csv,169.73080534260944,163.05895690123842,0.040817153,143.56911214192704
D3610.csv,691.875,691.5546723409736,0.004611842,1279.4495697021484
D3631.csv,17.164305059952937,20.015639532470075,0.105026275,11.072768783569327
D2071.csv,57.367812772753595,77.49221440459938,0.108143404,89.40302300347221
D3617.csv,55.078352305328956,58.016202153828594,0.18368885,24.539454604640152
D2077.csv,2006.6112386210284,1623.8666485380998,1.7916762,217.75473022460938
D3627.csv,172.97646524556072,233.77061916924882,0.04350801,230.96212768554688
D2083.csv,867.7142857142857,834.2751469436355,0.29702196,454.70299353966345
D3638.csv,281.2055354316198,129.2586220586598,0.1344953,269.6962673611111
D3600.csv,118.68782971043379,169.363289910927,0.04799549,143.40580902099612
D2081.csv,100.49216762163437,178.15742912830495,0.030818546,34.859649658203125
D2068.csv,118.91657994161855,99.94620682449653,0.15282148,88.33471679687503
D3624.csv,85.0472672109128,108.71152133389097,0.14886583,41.46559906005863
D3604.csv,257.80989522244954,75.02096959790043,0.49556366,51.71395339965824
D3606.csv,93.93157022997886,114.51562165746824,0.13710958,83.76219482421871
D3598.csv,63.878499999999995,36.181501834932405,0.047705024,24.133688278198235
D3601.csv,48.25598820663246,45.10465566554228,0.11430802,23.05632118225098
D3642.csv,225.88301717757795,207.91845683591328,0.06775315,189.38936767578124
D3619.csv,75.42708333333333,73.54357577152716,0.14486374,47.07156753540044
D3597.csv,230.41062499999998,219.63976408842973,0.077574484,143.9232753753662
D2070.csv,18.121482195843477,19.397796362921962,0.01684326,14.259617855674342
D2075.csv,1128.2652817469059,934.8203531125877,0.53609616,514.6302625868055
